                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0956,                 1.3647,                 1.2022,                0.65828,                0.53205,                0.61516,                0.45672,                 1.0813,                 1.1282,                 1.1243,               8.33e-06,               8.33e-06,               8.33e-06
                      1,                 1.2148,                 1.4379,                 1.2672,                0.68869,                0.53841,                0.63215,                0.46754,                 1.0753,                 1.0877,                 1.1208,             1.7673e-05,             1.7673e-05,             1.7673e-05
                      2,                 1.1855,                 1.3194,                 1.2365,                0.68865,                0.55416,                0.64287,                0.47683,                 1.0681,                 1.0634,                 1.1178,             2.6828e-05,             2.6828e-05,             2.6828e-05
                      3,                 1.1419,                 1.2954,                 1.2363,                0.70029,                0.58302,                0.66376,                0.49115,                 1.0552,                 1.0382,                 1.1086,             3.5794e-05,             3.5794e-05,             3.5794e-05
                      4,                 1.2145,                 1.3291,                 1.2289,                 0.6877,                0.60816,                0.68493,                0.50633,                 1.0395,                 1.0126,                 1.0948,             4.4572e-05,             4.4572e-05,             4.4572e-05
                      5,                 1.1218,                 1.1597,                 1.1959,                0.68027,                0.63634,                0.69975,                0.52359,                 1.0273,                0.99487,                 1.0854,             5.3161e-05,             5.3161e-05,             5.3161e-05
                      6,                  1.121,                 1.1753,                 1.1982,                0.72156,                 0.6439,                0.71497,                0.53573,                 1.0197,                0.97691,                 1.0813,             6.1562e-05,             6.1562e-05,             6.1562e-05
                      7,                 1.0801,                 1.1253,                 1.1629,                0.73211,                0.66544,                0.72606,                0.54481,                 1.0128,                0.94832,                 1.0766,             6.9775e-05,             6.9775e-05,             6.9775e-05
                      8,                  1.079,                 1.0918,                 1.1604,                 0.7527,                0.66766,                0.73765,                0.55035,                 1.0081,                0.92093,                 1.0726,             7.7798e-05,             7.7798e-05,             7.7798e-05
                      9,                 1.0762,                 1.1201,                 1.1764,                0.71865,                0.69414,                0.74199,                0.55357,                 1.0026,                0.90006,                 1.0685,             8.5634e-05,             8.5634e-05,             8.5634e-05
                     10,                 1.1104,                 1.0972,                  1.167,                0.71999,                0.70516,                0.75001,                0.56614,                0.99123,                0.87075,                 1.0605,             9.3281e-05,             9.3281e-05,             9.3281e-05
                     11,                  1.019,                 1.0337,                  1.138,                0.75751,                0.68152,                0.75835,                0.57165,                0.97636,                 0.8468,                 1.0522,             0.00010074,             0.00010074,             0.00010074
                     12,                 1.0797,                 1.0345,                 1.1806,                0.79105,                0.67613,                 0.7659,                0.58351,                0.96349,                 0.8333,                 1.0465,             0.00010486,             0.00010486,             0.00010486
                     13,                 1.0812,                 1.0686,                  1.152,                0.80186,                0.67963,                0.77269,                0.59285,                  0.961,                0.82124,                 1.0432,             0.00010486,             0.00010486,             0.00010486
                     14,                 1.0883,                 1.0493,                 1.1504,                0.80929,                 0.6908,                0.78232,                0.60212,                 0.9654,                0.81246,                  1.044,             0.00010368,             0.00010368,             0.00010368
                     15,                 1.0503,                 1.0142,                 1.1434,                0.80747,                0.70383,                0.79148,                0.60917,                0.95517,                0.79263,                 1.0381,             0.00010251,             0.00010251,             0.00010251
                     16,                  1.026,                 1.0379,                 1.1368,                0.81106,                0.71973,                 0.7973,                0.61747,                0.93938,                0.77574,                 1.0333,             0.00010133,             0.00010133,             0.00010133
                     17,                 1.0503,                0.98125,                 1.1389,                 0.8234,                0.72607,                0.81765,                0.62912,                0.92699,                0.75774,                  1.028,             0.00010015,             0.00010015,             0.00010015
                     18,                 0.9871,                0.96123,                 1.1356,                0.83791,                0.71912,                0.82109,                0.63583,                0.91847,                0.74532,                 1.0222,             9.8972e-05,             9.8972e-05,             9.8972e-05
                     19,                 0.9745,                0.91947,                 1.1097,                 0.8009,                0.75226,                0.82468,                0.64096,                0.90841,                0.73452,                 1.0155,             9.7794e-05,             9.7794e-05,             9.7794e-05
                     20,                 1.0113,                0.93651,                 1.1251,                0.81678,                0.76164,                0.83341,                0.64406,                0.90877,                0.72268,                 1.0139,             9.6616e-05,             9.6616e-05,             9.6616e-05
                     21,                 1.0197,                0.92194,                 1.1312,                0.85855,                0.73717,                0.83139,                0.64791,                0.90814,                0.71423,                 1.0113,             9.5438e-05,             9.5438e-05,             9.5438e-05
                     22,                 0.9968,                0.91866,                 1.0969,                 0.8561,                0.74568,                0.83153,                0.65045,                0.90513,                0.70868,                 1.0092,              9.426e-05,              9.426e-05,              9.426e-05
                     23,                0.95384,                 0.9101,                 1.0992,                0.80533,                0.78067,                0.83376,                0.64932,                0.89853,                0.70486,                 1.0078,             9.3082e-05,             9.3082e-05,             9.3082e-05
                     24,                0.96906,                0.89278,                 1.1011,                0.81784,                0.77408,                0.83609,                 0.6534,                 0.8926,                0.69847,                 1.0061,             9.1904e-05,             9.1904e-05,             9.1904e-05
                     25,                0.97534,                0.93885,                 1.1143,                0.83079,                0.77055,                0.84047,                0.65801,                0.88819,                 0.6898,                 1.0047,             9.0726e-05,             9.0726e-05,             9.0726e-05
                     26,                0.98181,                0.90245,                  1.118,                0.81212,                0.78397,                0.84388,                0.66282,                0.87916,                 0.6813,                 1.0021,             8.9547e-05,             8.9547e-05,             8.9547e-05
                     27,                0.97889,                 0.8631,                 1.1081,                0.86518,                0.75478,                0.85027,                0.66913,                0.86811,                0.67095,                 0.9965,             8.8369e-05,             8.8369e-05,             8.8369e-05
                     28,                0.96952,                0.85894,                 1.0996,                0.85482,                0.75884,                0.85029,                0.67283,                0.85894,                 0.6637,                0.99196,             8.7191e-05,             8.7191e-05,             8.7191e-05
                     29,                 0.9406,                0.80532,                 1.0586,                0.83552,                0.77845,                0.85382,                0.67485,                0.85319,                0.66082,                0.98838,             8.6013e-05,             8.6013e-05,             8.6013e-05
                     30,                0.98226,                0.86914,                 1.0962,                0.80881,                0.79894,                0.85467,                0.67486,                0.84805,                0.65329,                 0.9858,             8.4835e-05,             8.4835e-05,             8.4835e-05
                     31,                0.89249,                0.80805,                 1.0804,                0.86863,                0.76404,                 0.8571,                0.68061,                0.84249,                0.64533,                0.98268,             8.3657e-05,             8.3657e-05,             8.3657e-05
                     32,                0.93733,                0.86169,                 1.0843,                0.85472,                0.78054,                0.86103,                0.68337,                 0.8374,                0.63863,                0.98024,             8.2479e-05,             8.2479e-05,             8.2479e-05
                     33,                0.95936,                0.86921,                 1.1079,                0.86116,                0.77823,                0.86172,                0.68243,                0.83639,                0.63373,                0.97981,             8.1301e-05,             8.1301e-05,             8.1301e-05
                     34,                0.94063,                0.80875,                 1.0834,                0.88374,                 0.7753,                0.86103,                0.68694,                0.82985,                0.63235,                0.97634,             8.0123e-05,             8.0123e-05,             8.0123e-05
                     35,                0.95305,                0.84556,                  1.073,                0.88108,                0.77548,                0.85901,                 0.6905,                 0.8263,                0.63053,                0.97503,             7.8945e-05,             7.8945e-05,             7.8945e-05
                     36,                0.91434,                0.80034,                 1.0422,                0.88221,                0.77299,                0.86233,                0.69085,                0.82568,                0.62551,                0.97453,             7.7766e-05,             7.7766e-05,             7.7766e-05
                     37,                0.90311,                0.81786,                 1.0792,                 0.8861,                0.77032,                0.86295,                0.69327,                0.82323,                0.62046,                0.97253,             7.6588e-05,             7.6588e-05,             7.6588e-05
                     38,                0.94571,                0.81133,                 1.1049,                0.86493,                0.78521,                0.86369,                 0.6913,                 0.8206,                0.61403,                0.97085,              7.541e-05,              7.541e-05,              7.541e-05
                     39,                0.92139,                0.79796,                 1.0795,                 0.8748,                0.78299,                0.86606,                0.69722,                0.81507,                0.60943,                 0.9683,             7.4232e-05,             7.4232e-05,             7.4232e-05
                     40,                0.90297,                0.79212,                  1.064,                0.86725,                0.78718,                0.86736,                0.70193,                0.80839,                0.60203,                0.96527,             7.3054e-05,             7.3054e-05,             7.3054e-05
                     41,                0.95209,                0.80185,                 1.0743,                 0.8455,                0.81166,                0.87035,                0.70457,                0.80231,                0.59651,                0.96228,             7.1876e-05,             7.1876e-05,             7.1876e-05
                     42,                0.92862,                0.81242,                 1.0826,                0.84497,                0.80859,                0.86753,                0.70759,                0.79824,                0.59599,                0.95875,             7.0698e-05,             7.0698e-05,             7.0698e-05
                     43,                0.89629,                0.76842,                  1.064,                0.84285,                0.80672,                0.86387,                0.71124,                0.79237,                0.59659,                 0.9565,              6.952e-05,              6.952e-05,              6.952e-05
                     44,                0.86846,                0.80403,                 1.0606,                0.86429,                0.80789,                0.86702,                0.71613,                0.78738,                0.59388,                0.95406,             6.8342e-05,             6.8342e-05,             6.8342e-05
                     45,                0.89301,                0.76832,                 1.0598,                0.86771,                0.81129,                0.87027,                0.71338,                0.78274,                0.59061,                0.95251,             6.7164e-05,             6.7164e-05,             6.7164e-05
                     46,                0.88056,                0.76548,                 1.0577,                0.86201,                0.80498,                0.87048,                0.71169,                0.77956,                0.58578,                  0.951,             6.5986e-05,             6.5986e-05,             6.5986e-05
                     47,                0.85753,                0.75399,                 1.0537,                0.88569,                0.79284,                 0.8724,                0.71278,                0.77909,                0.58007,                0.95088,             6.4807e-05,             6.4807e-05,             6.4807e-05
                     48,                0.92387,                0.79138,                 1.0687,                0.85956,                0.81295,                0.87293,                0.71443,                0.77722,                0.57718,                0.94887,             6.3629e-05,             6.3629e-05,             6.3629e-05
                     49,                0.84401,                0.75809,                 1.0298,                0.85288,                0.82642,                0.88119,                0.71479,                0.77741,                0.57598,                0.94718,             6.2451e-05,             6.2451e-05,             6.2451e-05
                     50,                0.90774,                0.78338,                 1.0494,                0.87201,                 0.8183,                0.88096,                0.71526,                0.77471,                0.57403,                0.94532,             6.1273e-05,             6.1273e-05,             6.1273e-05
                     51,                0.85952,                0.71711,                 1.0352,                 0.8863,                0.80708,                0.88048,                0.71754,                   0.77,                 0.5751,                0.94329,             6.0095e-05,             6.0095e-05,             6.0095e-05
                     52,                0.88611,                0.75226,                 1.0396,                0.89067,                0.80533,                0.87916,                0.71878,                0.76522,                0.57259,                0.94089,             5.8917e-05,             5.8917e-05,             5.8917e-05
                     53,                 0.8929,                0.76182,                 1.0374,                0.89764,                0.79902,                0.87813,                0.71623,                0.76327,                0.56956,                0.93945,             5.7739e-05,             5.7739e-05,             5.7739e-05
                     54,                0.85757,                0.74513,                 1.0398,                0.90159,                 0.7978,                0.87818,                  0.717,                0.75965,                0.56485,                0.93846,             5.6561e-05,             5.6561e-05,             5.6561e-05
                     55,                 0.8929,                0.75574,                 1.0511,                0.90555,                0.79786,                0.88032,                0.72157,                 0.7557,                0.56034,                0.93774,             5.5383e-05,             5.5383e-05,             5.5383e-05
                     56,                   0.86,                 0.7611,                 1.0451,                0.89364,                0.80534,                0.88094,                0.72292,                0.75295,                0.55632,                0.93664,             5.4204e-05,             5.4204e-05,             5.4204e-05
